unique_id,tm_score
pdbbind_4tim,0.28098
pdbbind_5fe6,0.21834
pdbbind_6ghj,0.31782
pdbbind_3gqz,0.30551
pdbbind_4y3j,0.31155
pdbbind_5oxk,0.31533
pdbbind_5z5f,0.35525
pdbbind_6gmx,0.18667
pdbbind_3l7d,0.38587
pdbbind_6g47,0.19601
pdbbind_4ahr,0.19860
pdbbind_4ahs,0.21299
pdbbind_4amx,0.44898
pdbbind_4jdf,0.28660
pdbbind_4mre,0.19517
pdbbind_5nzp,0.24294
pdbbind_1w1v,0.30670
pdbbind_2vvo,0.22861
pdbbind_4eh8,0.75558
pdbbind_1x8d,0.19151
pdbbind_4g0z,0.20284
pdbbind_1icj,0.23550
pdbbind_1m0n,0.29194
pdbbind_2aac,0.24304
pdbbind_4aci,0.25346
pdbbind_4uru,0.21163
pdbbind_4ury,0.21322
pdbbind_4x11,0.27183
pdbbind_5hcl,0.20251
pdbbind_5jqb,0.23981
pdbbind_1ajp,0.24969
pdbbind_2igv,0.22986
pdbbind_3ao5,0.18647
pdbbind_3i3b,0.35156
pdbbind_1rdl,0.17233
pdbbind_2ay8,0.27941
pdbbind_2os9,0.22885
pdbbind_5f6v,0.23239
pdbbind_5m9w,0.37454
pdbbind_5nzo,0.24393
pdbbind_1ukt,0.36469
pdbbind_1ew8,0.30791
pdbbind_3ao1,0.20558
pdbbind_4eh9,0.74870
pdbbind_4np2,0.19349
pdbbind_5v6u,0.25506
pdbbind_1hge,0.22876
pdbbind_1uto,0.26691
pdbbind_4ahu,0.20212
pdbbind_4mfe,0.33768
pdbbind_1ps3,0.35825
pdbbind_2rjs,0.29080
pdbbind_3fu0,0.36472
pdbbind_3ip8,0.27131
pdbbind_2ay1,0.29329
pdbbind_4ddk,0.30892
pdbbind_4ehv,0.76624
pdbbind_5fnj,0.25365
pdbbind_1inh,0.32295
pdbbind_1jdj,0.32630
pdbbind_1n1g,0.32653
pdbbind_1o4g,0.19775
pdbbind_1uxa,0.21565
pdbbind_1w1p,0.32355
pdbbind_2ay7,0.27895
pdbbind_2hdu,0.30413
pdbbind_2xix,0.79669
pdbbind_2xlc,0.31024
pdbbind_3dyo,0.34847
pdbbind_3kgq,0.31643
pdbbind_3mhw,0.24791
pdbbind_3pcg,0.23198
pdbbind_3rv4,0.35297
pdbbind_4b6e,0.28796
pdbbind_4e3d,0.25892
pdbbind_4g0y,0.19737
pdbbind_4jsz,0.25965
pdbbind_4led,0.25534
pdbbind_4wh7,0.21427
pdbbind_5enc,0.20402
pdbbind_5eni,0.19971
pdbbind_5enj,0.21070
pdbbind_5g42,0.29446
pdbbind_6au2,0.28792
pdbbind_6gmq,0.20281
pdbbind_1m0o,0.29130
pdbbind_4y0a,0.22415
pdbbind_5mz8,0.33348
pdbbind_2qve,0.28335
pdbbind_5aol,0.22250
pdbbind_1z6d,0.19578
pdbbind_4iie,0.31703
pdbbind_5elf,0.18993
pdbbind_1qi0,0.26870
pdbbind_3gtc,0.29296
pdbbind_4k3k,0.29068
pdbbind_4y3y,0.30534
pdbbind_1o4j,0.20017
pdbbind_3g2z,0.32859
pdbbind_5fsc,0.24927
pdbbind_3t0d,0.35493
pdbbind_4jck,0.20112
pdbbind_6rnt,0.17308
pdbbind_3f6e,0.35803
pdbbind_4aj2,0.32220
pdbbind_6md8,0.32854
pdbbind_1f73,0.29764
pdbbind_1nwl,0.29740
pdbbind_4nyt,0.27941
pdbbind_4tya,0.31125
pdbbind_2wi1,0.26544
pdbbind_3dxg,0.19702
pdbbind_3l7b,0.38588
pdbbind_3pcb,0.23619
pdbbind_3t2t,0.19535
pdbbind_4u5l,0.29874
pdbbind_4y38,0.30201
pdbbind_4zsm,0.33254
pdbbind_1o4r,0.20313
pdbbind_2wsx,0.36139
pdbbind_4u5s,0.29783
pdbbind_6aaq,0.26337
pdbbind_4u5o,0.29940
pdbbind_5os3,0.82994
pdbbind_6mli,0.23484
pdbbind_1o4h,0.20028
pdbbind_1oba,0.30555
pdbbind_1t4s,0.27954
pdbbind_2i2b,0.26618
pdbbind_2xiy,0.80040
pdbbind_3ked,0.36695
pdbbind_3l7c,0.38651
pdbbind_3mjl,0.27981
pdbbind_4d62,0.21021
pdbbind_1gbq,0.11485
pdbbind_1o4o,0.20383
pdbbind_2aez,0.33221
pdbbind_3l79,0.38914
pdbbind_4ah9,0.19704
pdbbind_4ddm,0.30196
pdbbind_4eh6,0.75447
pdbbind_4x8u,0.27122
pdbbind_5aqh,0.31041
pdbbind_1tok,0.29103
pdbbind_1utl,0.26729
pdbbind_3rik,0.31171
pdbbind_4gne,0.15749
pdbbind_4y4j,0.31435
pdbbind_5dv4,0.29164
pdbbind_5jal,0.34808
pdbbind_6fhq,0.13556
pdbbind_1gyx,0.13054
pdbbind_4u5n,0.30111
pdbbind_4ze6,0.30145
pdbbind_5mn1,0.26891
pdbbind_5mnb,0.26642
pdbbind_5mnx,0.26801
pdbbind_5mon,0.26690
pdbbind_1o4q,0.20398
pdbbind_4efk,0.30726
pdbbind_4ej2,0.38642
pdbbind_4kz7,0.28709
pdbbind_6c3n,0.19434
pdbbind_1ai4,0.24919
pdbbind_3g30,0.32972
pdbbind_4ctj,0.28981
pdbbind_6dji,0.33667
pdbbind_1rq2,0.31829
pdbbind_1wdr,0.28578
pdbbind_3ad7,0.32792
pdbbind_3bf1,0.27170
pdbbind_3fq7,0.28102
pdbbind_3gr2,0.28851
pdbbind_3mfv,0.28068
pdbbind_3vdb,0.35535
pdbbind_4e3f,0.25845
pdbbind_4g0q,0.19777
pdbbind_4urz,0.22533
pdbbind_5f6d,0.23242
pdbbind_5f6u,0.22777
pdbbind_4hj2,0.29026
pdbbind_1iup,0.28960
pdbbind_1il3,0.28390
pdbbind_1kf0,0.30849
pdbbind_3b3s,0.30035
pdbbind_3ovn,0.20330
pdbbind_5eif,0.28923
pdbbind_5n53,0.24392
pdbbind_5os0,0.82885
pdbbind_1gwv,0.31085
pdbbind_2ria,0.22812
pdbbind_3kgp,0.25502
pdbbind_5v4q,0.29220
pdbbind_6poq,0.24730
pdbbind_2ay5,0.27843
pdbbind_2jst,0.15257
pdbbind_3gvb,0.28038
pdbbind_4o3a,0.26109
pdbbind_4o3c,0.26199
pdbbind_4wef,0.29623
pdbbind_5tpb,0.30886
pdbbind_1o4p,0.20323
pdbbind_2c4v,0.23757
pdbbind_2r5a,0.22850
pdbbind_3gwv,0.32938
pdbbind_3rxf,0.26626
pdbbind_4up5,0.18296
pdbbind_5g46,0.29295
pdbbind_6mia,0.32960
pdbbind_1cze,0.28845
pdbbind_1w1y,0.30361
pdbbind_2kfh,0.21520
pdbbind_3f37,0.25635
pdbbind_3f38,0.25576
pdbbind_3fk1,0.33262
pdbbind_3rxl,0.26658
pdbbind_4lnf,0.35839
pdbbind_4lno,0.36108
pdbbind_5foo,0.33038
pdbbind_5lvd,0.37361
pdbbind_1ajn,0.25048
pdbbind_1g5f,0.29875
pdbbind_1o4i,0.20317
pdbbind_3p1d,0.21348
pdbbind_4i8x,0.30223
pdbbind_4q7w,0.25917
pdbbind_4q8y,0.25907
pdbbind_4ufl,0.38831
pdbbind_6fhu,0.11412
pdbbind_5ey0,0.24280
pdbbind_1il5,0.28474
pdbbind_3a1e,0.27599
pdbbind_3rxb,0.26667
pdbbind_4y2p,0.27569
pdbbind_5eld,0.17300
pdbbind_3lvw,0.41124
pdbbind_6prt,0.20864
pdbbind_1hgi,0.24645
pdbbind_1o8b,0.19181
pdbbind_2q72,0.29634
pdbbind_3rxk,0.26588
pdbbind_4b3c,0.25235
pdbbind_4b3d,0.25228
pdbbind_5aqj,0.28291
pdbbind_5aqp,0.29487
pdbbind_3elc,0.23449
pdbbind_4usw,0.34475
pdbbind_5k5s,0.31886
pdbbind_1br5,0.28283
pdbbind_1gym,0.27732
pdbbind_1lt5,0.19347
pdbbind_1tc1,0.21472
pdbbind_1ylv,0.29303
pdbbind_2fzc,0.25748
pdbbind_2ha4,0.36127
pdbbind_2krd,0.17873
pdbbind_2ohk,0.34141
pdbbind_2ow6,0.36230
pdbbind_2uyn,0.21661
pdbbind_3bra,0.29753
pdbbind_3ftz,0.36437
pdbbind_3fud,0.36440
pdbbind_3fuf,0.36308
pdbbind_3fuh,0.36204
pdbbind_3gk2,0.18905
pdbbind_3gsg,0.31539
pdbbind_3hvg,0.33182
pdbbind_3rqw,0.23279
pdbbind_3sl0,0.28557
pdbbind_3zsw,0.21310
pdbbind_3zsz,0.21301
pdbbind_3zt1,0.21967
pdbbind_4h4b,0.28583
pdbbind_4okp,0.29551
pdbbind_4old,0.31479
pdbbind_4wks,0.27547
pdbbind_4ypf,0.30837
pdbbind_4yrc,0.30994
pdbbind_4yrg,0.30476
pdbbind_4yrr,0.30750
pdbbind_5aok,0.22813
pdbbind_6fty,0.26355
pdbbind_6nmb,0.25826
pdbbind_4kpz,0.31441
pdbbind_6poh,0.24523
pdbbind_1pfu,0.33268
pdbbind_2rkd,0.38783
pdbbind_3p4r,0.33026
pdbbind_5fsx,0.26290
pdbbind_6dih,0.33724
pdbbind_1dg9,0.21897
pdbbind_2qwb,0.30322
pdbbind_2vyt,0.19954
pdbbind_4m6u,0.29733
pdbbind_4ndu,0.19502
pdbbind_5os2,0.82201
pdbbind_6a9c,0.12167
pdbbind_1rql,0.29222
pdbbind_5oyd,0.31566
pdbbind_6aan,0.24377
pdbbind_1ny2,0.08713
pdbbind_4bt5,0.25535
pdbbind_5er4,0.18998
pdbbind_2bet,0.23044
pdbbind_2p3o,0.28370
pdbbind_3fcq,0.37465
pdbbind_3l0n,0.25723
pdbbind_4a4h,0.12230
pdbbind_4g5y,0.30058
pdbbind_4kz3,0.31551
pdbbind_4urv,0.21389
pdbbind_4ykk,0.26178
pdbbind_5aqn,0.28891
pdbbind_5oug,0.21175
pdbbind_6er4,0.22998
pdbbind_6g24,0.19099
pdbbind_2yiv,0.37020
pdbbind_3ftw,0.36356
pdbbind_4yrt,0.29782
pdbbind_5os4,0.82970
pdbbind_6aad,0.25436
pdbbind_2bge,0.33709
pdbbind_2bza,0.26672
pdbbind_3zt4,0.21219
pdbbind_4kz8,0.31356
pdbbind_4urw,0.23842
pdbbind_4yw2,0.31790
pdbbind_5fbi,0.25789
pdbbind_5fov,0.26462
pdbbind_5ofw,0.23116
pdbbind_5zee,0.27446
pdbbind_6rqk,0.31929
pdbbind_3djx,0.19327
pdbbind_4eh4,0.75070
pdbbind_4oyt,0.33670
pdbbind_4rrg,0.19601
pdbbind_1czc,0.27377
pdbbind_1p17,0.21088
pdbbind_2a3a,0.29664
pdbbind_2rib,0.22915
pdbbind_2w6z,0.36669
pdbbind_2xj0,0.80100
pdbbind_2yc0,0.26553
pdbbind_3fue,0.36502
pdbbind_3lka,0.23021
pdbbind_3ppr,0.27424
pdbbind_4dsu,0.23900
pdbbind_4k7i,0.24991
pdbbind_4pb1,0.32913
pdbbind_5aip,0.21814
pdbbind_6cw4,0.17523
pdbbind_6evm,0.18063
pdbbind_6mj7,0.10856
pdbbind_6quw,0.22751
pdbbind_4yz5,0.31047
pdbbind_3fu3,0.36396
pdbbind_3moh,0.38777
pdbbind_3zt2,0.20714
pdbbind_4cgj,0.21143
pdbbind_1il4,0.28370
pdbbind_2a29,0.21325
pdbbind_2ork,0.22979
pdbbind_3atk,0.26704
pdbbind_3k3g,0.35244
pdbbind_3rxa,0.26709
pdbbind_3udh,0.33201
pdbbind_4luv,0.17395
pdbbind_4mlt,0.25845
pdbbind_4x47,0.31405
pdbbind_4ym2,0.20911
pdbbind_5aqo,0.28531
pdbbind_5th4,0.25578
pdbbind_6jjm,0.31366
pdbbind_3qx8,0.19392
pdbbind_3zt3,0.20773
pdbbind_4ouj,0.24123
pdbbind_4pd5,0.32923
pdbbind_5z1c,0.24930
pdbbind_4fgz,0.27705
pdbbind_5thj,0.25270
pdbbind_1e34,0.26642
pdbbind_2woq,0.29330
pdbbind_4a4f,0.11734
pdbbind_4ucv,0.30120
pdbbind_1cet,0.31273
pdbbind_1iih,0.28052
pdbbind_1ugp,0.24040
pdbbind_2k2r,0.23201
pdbbind_2wpb,0.30646
pdbbind_2wtx,0.30741
pdbbind_3f36,0.25263
pdbbind_3g31,0.32952
pdbbind_4b35,0.26451
pdbbind_4cd8,0.28108
pdbbind_4gqq,0.32199
pdbbind_4kzb,0.29221
pdbbind_4llx,0.31069
pdbbind_4u5u,0.29872
pdbbind_4urx,0.21620
pdbbind_5aes,0.29951
pdbbind_5flt,0.25414
pdbbind_5ngz,0.21818
pdbbind_5orv,0.83003
pdbbind_6b7b,0.21131
pdbbind_6f6s,0.24382
pdbbind_6mvu,0.35595
pdbbind_3c2u,0.34793
pdbbind_5aom,0.22869
pdbbind_5dv2,0.30072
pdbbind_1ms0,0.35221
pdbbind_2ay4,0.28757
pdbbind_2pri,0.38910
pdbbind_4kc1,0.30133
pdbbind_1eef,0.19165
pdbbind_1h2k,0.26422
pdbbind_1o4k,0.20219
pdbbind_1p6e,0.25703
pdbbind_1zp5,0.23328
pdbbind_2aa9,0.33057
pdbbind_2aay,0.33230
pdbbind_2fkf,0.33905
pdbbind_2fw6,0.23491
pdbbind_2fwp,0.25056
pdbbind_2kfg,0.20552
pdbbind_3alt,0.21388
pdbbind_3iaf,0.37574
pdbbind_3k8c,0.21423
pdbbind_4ai5,0.24700
pdbbind_4ef6,0.31202
pdbbind_4lm3,0.31223
pdbbind_4u4s,0.25944
pdbbind_4x14,0.27193
pdbbind_4y2q,0.29877
pdbbind_4zki,0.25174
pdbbind_5c0k,0.19987
pdbbind_5ct2,0.23417
pdbbind_5x4m,0.19401
pdbbind_6fv4,0.28445
pdbbind_1tng,0.26722
pdbbind_3ftv,0.36436
pdbbind_4zv2,0.22274
pdbbind_1p6d,0.25301
pdbbind_2vmc,0.20870
pdbbind_4y62,0.30134
pdbbind_1f4e,0.28423
pdbbind_1w1t,0.32676
pdbbind_1ykp,0.23467
pdbbind_2br6,0.26142
pdbbind_2kdh,0.14224
pdbbind_2w8j,0.29824
pdbbind_3g34,0.33083
pdbbind_3imc,0.30170
pdbbind_3img,0.31685
pdbbind_4bgy,0.24749
pdbbind_4dst,0.24106
pdbbind_4k3l,0.27160
pdbbind_4mrg,0.19286
pdbbind_4owm,0.35068
pdbbind_5fng,0.25487
pdbbind_6r9x,0.21979
pdbbind_2hw2,0.18678
pdbbind_4ceb,0.20759
pdbbind_5flq,0.25460
pdbbind_2rnw,0.18079
pdbbind_3ckb,0.36270
pdbbind_3djq,0.19315
pdbbind_4ibc,0.21074
pdbbind_5aba,0.22702
pdbbind_5aqu,0.31086
pdbbind_3ump,0.27927
pdbbind_4a4g,0.12592
pdbbind_4bps,0.34654
pdbbind_1ecq,0.29469
pdbbind_1hqg,0.29561
pdbbind_1mcz,0.28970
pdbbind_1ux7,0.20001
pdbbind_1w7h,0.74814
pdbbind_1wbg,0.06704
pdbbind_1wbo,0.75905
pdbbind_1ws4,0.19743
pdbbind_1yc5,0.24930
pdbbind_1z9h,0.29837
pdbbind_1zm7,0.22621
pdbbind_2f1b,0.34389
pdbbind_2h2e,0.25405
pdbbind_2q8h,0.32565
pdbbind_2r0y,0.26295
pdbbind_2rka,0.36246
pdbbind_2v3u,0.23454
pdbbind_2vin,0.25449
pdbbind_2vtm,0.76026
pdbbind_2wa3,0.26290
pdbbind_2xgm,0.33103
pdbbind_2xgo,0.33303
pdbbind_2xp3,0.20639
pdbbind_2ych,0.28997
pdbbind_3ap7,0.20705
pdbbind_3d9o,0.23348
pdbbind_3eka,0.23634
pdbbind_3grj,0.29577
pdbbind_3ime,0.29855
pdbbind_3nf8,0.20979
pdbbind_3nk8,0.26640
pdbbind_3ob0,0.22641
pdbbind_4b2i,0.25941
pdbbind_4fe9,0.30073
pdbbind_4k0o,0.18936
pdbbind_4k5z,0.25634
pdbbind_4k64,0.24602
pdbbind_4k72,0.17369
pdbbind_4l51,0.24787
pdbbind_4l5j,0.24105
pdbbind_4lkh,0.24952
pdbbind_4llk,0.31227
pdbbind_4m5r,0.23321
pdbbind_4o7d,0.27672
pdbbind_4oyp,0.34257
pdbbind_4oz2,0.33890
pdbbind_4r3w,0.33736
pdbbind_4txs,0.31466
pdbbind_4u0w,0.22647
pdbbind_4wh9,0.22467
pdbbind_5a5o,0.18907
pdbbind_5aqr,0.28728
pdbbind_5c7b,0.18849
pdbbind_5ehw,0.25791
pdbbind_5fnq,0.27854
pdbbind_5jah,0.34283
pdbbind_5l97,0.20000
pdbbind_5lz2,0.34808
pdbbind_5tpc,0.30925
pdbbind_5u66,0.23725
pdbbind_5ye8,0.31044
pdbbind_6fh6,0.20479
pdbbind_6fh7,0.19593
pdbbind_6ftz,0.25858
pdbbind_6gjy,0.22651
pdbbind_6n17,0.33617
pdbbind_6quv,0.24059
pdbbind_1g42,0.29890
pdbbind_1utm,0.26563
pdbbind_4g0p,0.19926
pdbbind_5jan,0.34044
pdbbind_2vmd,0.20774
pdbbind_3dc2,0.33084
pdbbind_3fuk,0.36220
pdbbind_4q81,0.25665
pdbbind_4xm8,0.30010
pdbbind_5z4h,0.25728
pdbbind_6f6n,0.25585
pdbbind_6n19,0.33649
pdbbind_1ogd,0.18611
pdbbind_1ws5,0.20235
pdbbind_2ggu,0.22944
pdbbind_2ha3,0.36002
pdbbind_3adv,0.31249
pdbbind_3esj,0.23295
pdbbind_4lm2,0.31230
pdbbind_4qp2,0.80872
pdbbind_5aoi,0.22685
pdbbind_1rtf,0.23103
pdbbind_2pcu,0.31634
pdbbind_3ay0,0.26669
pdbbind_3t08,0.34775
pdbbind_3t1m,0.21898
pdbbind_3zvv,0.44695
pdbbind_4i7k,0.26731
pdbbind_4lm4,0.31241
pdbbind_5fls,0.25476
pdbbind_1f74,0.29693
pdbbind_1gvk,0.25298
pdbbind_1gzg,0.29418
pdbbind_1o41,0.20411
pdbbind_1pum,0.27442
pdbbind_1uj5,0.26887
pdbbind_1uj6,0.28879
pdbbind_2ohl,0.33871
pdbbind_2vcw,0.27740
pdbbind_4g5f,0.31137
pdbbind_4guj,0.26944
pdbbind_4u5v,0.30052
pdbbind_5abe,0.33884
pdbbind_5ort,0.82583
pdbbind_6ncn,0.23819
pdbbind_2jfh,0.30130
pdbbind_2ksa,0.28684
pdbbind_3atm,0.26716
pdbbind_3hw1,0.33248
pdbbind_3rxi,0.26726
pdbbind_3rxj,0.26737
pdbbind_4csy,0.20519
pdbbind_4nyi,0.24117
pdbbind_1rnm,0.19536
pdbbind_1s26,0.29052
pdbbind_3mof,0.39617
pdbbind_4yrs,0.30460
pdbbind_6fh3,0.33603
pdbbind_1hiy,0.19605
pdbbind_1y1z,0.26852
pdbbind_4yv1,0.29601
pdbbind_5ehv,0.25446
pdbbind_6ew6,0.18174
pdbbind_1mdl,0.29287
pdbbind_1ugw,0.19864
pdbbind_4eh5,0.73159
pdbbind_6pml,0.24686
pdbbind_1a5v,0.20803
pdbbind_1af2,0.33622
pdbbind_1ec9,0.29760
pdbbind_1pu7,0.26272
pdbbind_1pu8,0.25313
pdbbind_1swi,0.09601
pdbbind_2xdl,0.26507
pdbbind_3buf,0.30388
pdbbind_3f78,0.24400
pdbbind_3mo8,0.18709
pdbbind_4cjr,0.20560
pdbbind_4j79,0.28898
pdbbind_4kz6,0.30218
pdbbind_4pl6,0.13215
pdbbind_4pxf,0.28171
pdbbind_4y2j,0.29867
pdbbind_4y64,0.30158
pdbbind_5aqq,0.28344
pdbbind_5cr7,0.28035
pdbbind_5eh8,0.25348
pdbbind_5ggo,0.23653
pdbbind_5lzg,0.17882
pdbbind_5lzh,0.18762
pdbbind_5orw,0.82943
pdbbind_1k2i,0.27884
pdbbind_1uod,0.32463
pdbbind_2ay6,0.27849
pdbbind_2lto,0.12332
pdbbind_2lwi,0.22947
pdbbind_3c2r,0.25555
pdbbind_3msj,0.30369
pdbbind_4aj1,0.32066
pdbbind_4ajk,0.32134
pdbbind_4d52,0.28585
pdbbind_4gbz,0.33806
pdbbind_4wf4,0.24141
pdbbind_5enb,0.20396
pdbbind_1h9l,0.25031
pdbbind_2ksb,0.28684
pdbbind_4bt3,0.24389
pdbbind_4cgi,0.21183
pdbbind_4uct,0.30792
pdbbind_5ey4,0.28198
pdbbind_1ax0,0.25888
pdbbind_3kac,0.20105
pdbbind_5c5t,0.22494
pdbbind_6d1k,0.25146
pdbbind_6dhu,0.33728
pdbbind_6die,0.33468
pdbbind_6qhg,0.18059
pdbbind_2f1a,0.35488
pdbbind_2ya7,0.31330
pdbbind_3odk,0.20568
pdbbind_4b34,0.26294
pdbbind_6cea,0.18182
pdbbind_6g27,0.18091
pdbbind_1e6q,0.33327
pdbbind_1eei,0.19515
pdbbind_1k9q,0.08397
pdbbind_1noi,0.39345
pdbbind_1noj,0.38879
pdbbind_1nok,0.39004
pdbbind_1rin,0.24710
pdbbind_2fr8,0.27668
pdbbind_2p8n,0.28669
pdbbind_3cgy,0.18648
pdbbind_3e73,0.29365
pdbbind_4de5,0.30204
pdbbind_4fzj,0.30705
pdbbind_4lw1,0.17344
pdbbind_4x0z,0.27153
pdbbind_5e5g,0.28779
pdbbind_5flo,0.26119
pdbbind_5fnf,0.26441
pdbbind_6a87,0.08927
pdbbind_6cc9,0.10962
pdbbind_6ccx,0.10997
pdbbind_6cyh,0.28409
pdbbind_2ymd,0.21712
pdbbind_3ad8,0.33297
pdbbind_3ecn,0.31616
pdbbind_3f34,0.24692
pdbbind_3f35,0.25734
pdbbind_3kpu,0.27287
pdbbind_3lk0,0.19791
pdbbind_4eh2,0.75885
pdbbind_4pli,0.13081
pdbbind_5n1x,0.18434
pdbbind_4hnc,0.29359
pdbbind_4uce,0.24143
pdbbind_4x3i,0.19686
pdbbind_5fot,0.26059
pdbbind_5fox,0.26024
pdbbind_5ose,0.83043
pdbbind_6cv8,0.17310
pdbbind_1b9s,0.30291
pdbbind_1lbk,0.28202
pdbbind_1ro7,0.25211
pdbbind_2wik,0.36013
pdbbind_3at1,0.24641
pdbbind_3bug,0.30696
pdbbind_3kid,0.25454
pdbbind_1o6i,0.32421
pdbbind_2zdx,0.32276
